,M
5042,-11714
5043,-6456
5044,-3973
5045,-4405
5046,-2200
5047,130
5048,2644
5049,5428
5050,6377
5051,4743
5052,5720
5053,6347
5054,3592
5055,773
5056,44
5057,-1370
5058,-3918
5059,-5868
5060,-8396
5061,-10336
5062,-9193
5063,-8510
5064,-8943
5065,-8094
5066,-5201
5067,-3872
5068,-2639
5069,-1150
5070,87
5071,2074
5072,3486
5073,2821
5074,3264
5075,4531
5076,4831
5077,4758
5078,5211
5079,6517
5080,7287
5081,6774
5082,6339
5083,6937
5084,9171
5085,9519
5086,9399
5087,10027
5088,10108
5089,12572
5090,9858
5091,1650
5092,-1879
5093,-559
5094,-643
5095,-4573
5096,-6567
5097,-9752
5098,-10455
5099,-9519
5100,-11257
5101,-11150
5102,-6365
5103,-3248
5104,-4215
5105,-3762
5106,-2120
5107,744
5108,3074
5109,3574
5110,2361
5111,2818
5112,4164
5113,2724
5114,151
5115,-187
5116,-173
5117,-3364
5118,-8527
5119,-7858
5120,-7105
5121,-6687
5122,-7693
5123,-8734
5124,-7928
5125,-4614
5126,-1803
5127,-2331
5128,-1397
5129,1267
5130,1976
5131,1813
5132,1834
5133,2354
5134,3476
5135,2966
5136,1711
5137,1362
5138,3081
5139,5797
5140,6032
5141,4247
5142,5082
5143,6918
5144,8554
5145,9438
5146,9909
5147,10617
5148,11938
5149,14015
5150,11716
5151,3600
5152,475
5153,289
5154,851
5155,-4385
5156,-7006
5157,-8921
5158,-10360
5159,-11219
5160,-12101
5161,-11928
5162,-7801
5163,-4092
5164,-4579
5165,-5017
5166,-2000
5167,1157
5168,2442
5169,3410
5170,3254
5171,2970
5172,3760
5173,2275
5174,-1064
5175,-1332
5176,-882
5177,-2398
5178,-5547
5179,-6798
5180,-6816
5181,-6848
5182,-6936
5183,-7700
5184,-6969
5185,-4006
5186,-2118
5187,-2294
5188,-1993
5189,-210
5190,1490
5191,2072
5192,1623
5193,1610
5194,2680
5195,3041
5196,1644
5197,1481
5198,2833
5199,4600
5200,5862
5201,5502
5202,4852
5203,5922
5204,7906
5205,9099
5206,9635
5207,10542
5208,11432
5209,12414
5210,13776
5211,8018
5212,185
5213,-1282
5214,454
5215,-1716
5216,-6573
5217,-8007
5218,-10202
5219,-11261
5220,-11019
5221,-11604
5222,-9952
5223,-4890
5224,-2873
5225,-4803
5226,-3205
5227,596
5228,2655
5229,3566
5230,3884
5231,2548
5232,2547
5233,2542
5234,549
5235,-2059
5236,-1849
5237,-2327
5238,-5186
5239,-6875
5240,-6859
5241,-6781
5242,-6656
5243,-6627
5244,-6866
5245,-5267
5246,-2087
5247,-994
5248,-1065
5249,-289
5250,1167
5251,1817
5252,2012
5253,1744
5254,2192
5255,2762
5256,2053
5257,790
5258,1378
5259,2972
5260,4676
5261,5138
5262,5174
5263,5384
5264,6504
5265,8253
5266,8911
5267,10228
5268,11158
5269,12561
5270,13652
5271,13041
5272,4307
5273,-1341
5274,-1181
5275,209
5276,-4053
5277,-6703
5278,-9509
5279,-11768
5280,-11678
5281,-11359
5282,-11567
5283,-7630
5284,-3230
5285,-3393
5286,-3756
5287,-1237
5288,2095
5289,3849
5290,4653
5291,3813
5292,2642
5293,2340
5294,1882
5295,-678
5296,-2183
5297,-2738
5298,-4087
5299,-6691
5300,-7200
5301,-7187
5302,-7052
5303,-6838
5304,-6932
5305,-6446
5306,-3635
5307,-802
5308,-467
5309,-311
5310,235
5311,1598
5312,2329
5313,2468
5314,2139
5315,2640
5316,1983
5317,806
5318,736
5319,1904
5320,3140
5321,4607
5322,4540
5323,5033
5324,6026
5325,6950
5326,7978
5327,9583
5328,10972
5329,11707
5330,13000
5331,14445
5332,11728
5333,1385
5334,-2180
5335,-1068
5336,-341
5337,-5336
5338,-8070
5339,-11207
5340,-12638
5341,-11337
5342,-11868
5343,-10933
5344,-5897
5345,-2012
5346,-3475
5347,-2828
5348,292
5349,3718
5350,5142
5351,5058
5352,3138
5353,3589
5354,4323
5355,2447
5356,-1090
5357,-1502
5358,-2292
5359,-5723
5360,-12029
5361,-11525
5362,-6816
5363,-5872
5364,-8301
5365,-10089
5366,-6981
5367,-2191
5368,554
5369,388
5370,100
5371,2956
5372,3986
5373,2758
5374,2061
5375,3475
5376,3896
5377,1010
5378,-1571
5379,-827
5380,1629
5381,3409
5382,3246
5383,2105
5384,3801
5385,6284
5386,6580
5387,7499
5388,9294
5389,11541
5390,11844
5391,13469
5392,15106
5393,13687
5394,4460
5395,-847
5396,-1206
5397,-804
5398,-4985
5399,-6905
5400,-10477
5401,-13420
5402,-11796
5403,-11915
5404,-11920
5405,-7461
5406,-2698
5407,-3422
5408,-2593
5409,-60
5410,2277
5411,4322
5412,5440
5413,3775
5414,3238
5415,3448
5416,1708
5417,-1966
5418,-2712
5419,-2899
5420,-5104
5421,-8077
5422,-7928
5423,-7662
5424,-7341
5425,-6761
5426,-7210
5427,-5700
5428,-2281
5429,-63
5430,-413
5431,298
5432,1586
5433,2068
5434,2799
5435,2270
5436,1810
5437,1990
5438,751
5439,-688
5440,-263
5441,983
5442,1750
5443,2425
5444,3014
5445,3844
5446,6086
5447,6622
5448,7293
5449,9172
5450,10710
5451,11532
5452,12768
5453,14333
5454,16544
5455,9181
5456,-897
5457,-2963
5458,58
5459,-2198
5460,-7017
5461,-9928
5462,-12570
5463,-12078
5464,-11600
5465,-13036
5466,-9763
5467,-3680
5468,-2073
5469,-3410
5470,-1606
5471,1903
5472,4996
5473,5241
5474,3812
5475,2932
5476,3576
5477,2560
5478,-515
5479,-3246
5480,-3140
5481,-4571
5482,-7451
5483,-8489
5484,-7522
5485,-6769
5486,-6649
5487,-6977
5488,-6770
5489,-3530
5490,-48
5491,651
5492,171
5493,698
5494,1470
5495,2609
5496,2854
5497,1697
5498,1948
5499,1207
5500,-426
5501,-1063
5502,225
5503,1563
5504,2459
5505,2660
5506,2533
5507,4738
5508,7060
5509,7248
5510,8288
5511,9914
5512,11732
5513,12404
5514,13639
5515,15595
5516,14490
5517,3368
5518,-3020
5519,-2087
5520,-455
5521,-5116
5522,-8481
5523,-11507
5524,-13382
5525,-12214
5526,-12025
5527,-11439
5528,-6780
5529,-1904
5530,-2651
5531,-2813
5532,278
5533,4139
5534,5230
5535,5180
5536,3887
5537,3704
5538,4179
5539,2772
5540,-1237
5541,-2472
5542,-1864
5543,-4730
5544,-10453
5545,-13658
5546,-10159
5547,-6173
5548,-6636
5549,-8861
5550,-7811
5551,-2154
5552,769
5553,1309
5554,1267
5555,2700
5556,4821
5557,4172
5558,2433
5559,2602
5560,3353
5561,959
5562,-2432
5563,-2228
5564,351
5565,1896
5566,1891
5567,1173
5568,1988
5569,5931
5570,7053
5571,7378
5572,9025
5573,11558
5574,12782
5575,13489
5576,15228
5577,17349
5578,9191
5579,702
5580,-1849
5581,-193
5582,-3687
5583,-7260
5584,-10168
5585,-13402
5586,-13180
5587,-12030
5588,-13143
5589,-9802
5590,-4351
5591,-2565
5592,-2814
5593,-684
5594,2353
5595,4631
5596,5614
5597,4940
5598,3709
5599,3611
5600,2510
5601,-447
5602,-3358
5603,-3495
5604,-4593
5605,-7529
5606,-8570
5607,-7539
5608,-7503
5609,-6999
5610,-6637
5611,-5817
5612,-3137
5613,-83
5614,369
5615,190
5616,1070
5617,1909
5618,2776
5619,2989
5620,2039
5621,1479
5622,400
5623,-802
5624,-763
5625,219
5626,942
5627,1606
5628,2009
5629,2093
5630,4349
5631,6955
5632,7761
5633,8184
5634,9287
5635,11394
5636,13216
5637,13945
5638,15675
5639,15725
5640,5131
5641,-2499
5642,-2171
5643,-471
5644,-4088
5645,-7664
5646,-11412
5647,-14129
5648,-12103
5649,-11844
5650,-12057
5651,-7523
5652,-2646
5653,-2960
5654,-2573
5655,212
5656,3777
5657,5401
5658,5422
5659,3687
5660,2920
5661,2995
5662,1712
5663,-1798
5664,-3643
5665,-4426
5666,-6735
5667,-7763
5668,-7716
5669,-7172
5670,-7543
5671,-6689
5672,-6538
5673,-4689
5674,-965
5675,913
5676,596
5677,670
5678,893
5679,2178
5680,3556
5681,2920
5682,1538
5683,588
5684,-423
5685,-1516
5686,-602
5687,601
5688,960
5689,1320
5690,2039
5691,2808
5692,5786
5693,7689
5694,8264
5695,8834
5696,10626
5697,12315
5698,13380
5699,14700
5700,17442
5701,11851
5702,-335
5703,-2815
5704,-227
5705,-1598
5706,-7530
5707,-9492
5708,-12839
5709,-13380
5710,-12226
5711,-12357
5712,-10452
5713,-4251
5714,-2250
5715,-3520
5716,-1393
5717,3062
5718,5383
5719,5142
5720,4709
5721,3634
5722,4389
5723,4162
5724,1223
5725,-2701
5726,-2530
5727,-5273
5728,-11452
5729,-9695
5730,-5865
5731,-7869
5732,-10287
5733,-9139
5734,-5856
5735,-3503
5736,661
5737,437
5738,337
5739,2701
5740,2762
5741,2690
5742,4025
5743,4001
5744,1962
5745,-697
5746,-1522
5747,-1113
5748,188
5749,660
5750,-3
5751,652
5752,2744
5753,4318
5754,5995
5755,6897
5756,8894
5757,10132
5758,11432
5759,13096
5760,14583
5761,16993
5762,17906
5763,5816
5764,-3122
5765,-2105
5766,1554
5767,-3920
5768,-9300
5769,-11928
5770,-13899
5771,-13124
5772,-12480
5773,-12752
5774,-7791
5775,-2435
5776,-2674
5777,-3808
5778,38
5779,5405
5780,6448
5781,4954
5782,3795
5783,4259
5784,4855
5785,2424
5786,-1990
5787,-4180
5788,-4199
5789,-6762
5790,-9243
5791,-9177
5792,-7076
5793,-8082
5794,-8361
5795,-7767
5796,-4586
5797,-416
5798,1323
5799,709
5800,911
5801,2073
5802,3364
5803,3747
5804,2966
5805,1637
5806,887
5807,-701
5808,-2114
5809,-1112
5810,464
5811,448
5812,280
5813,1152
5814,2499
5815,5135
5816,7428
5817,7595
5818,8455
5819,10397
5820,12204
5821,13268
5822,14600
5823,17639
5824,16444
5825,3313
5826,-3978
5827,-1660
5828,1808
5829,-4737
5830,-9657
5831,-13200
5832,-13922
5833,-12558
5834,-12052
5835,-11959
5836,-7085
5837,-2495
5838,-3431
5839,-3580
5840,1463
5841,5979
5842,5975
5843,4255
5844,3288
5845,4304
5846,5264
5847,2033
5848,-3138
5849,-4863
5850,-5561
5851,-6374
5852,-8033
5853,-8273
5854,-8157
5855,-8522
5856,-7749
5857,-7060
5858,-3467
5859,249
5860,1073
5861,610
5862,179
5863,1730
5864,3743
5865,4017
5866,2483
5867,538
5868,573
5869,-567
5870,-1426
5871,-619
5872,569
5873,700
5874,689
5875,1748
5876,3177
5877,6192
5878,8025
5879,7500
5880,8478
5881,10970
5882,13167
5883,13702
5884,14657
5885,17603
5886,12286
5887,456
5888,-3144
5889,-110
5890,-792
5891,-6846
5892,-9943
5893,-13693
5894,-14010
5895,-11799
5896,-11432
5897,-10532
5898,-5340
5899,-3042
5900,-3796
5901,-1576
5902,3513
5903,5502
5904,5092
5905,3874
5906,3319
5907,3954
5908,3220
5909,-287
5910,-3859
5911,-4219
5912,-5558
5913,-7649
5914,-8404
5915,-7132
5916,-7132
5917,-7945
5918,-7180
5919,-5440
5920,-2156
5921,812
5922,1104
5923,835
5924,997
5925,2090
5926,3185
5927,3325
5928,2229
5929,820
5930,-170
5931,-1493
5932,-1376
5933,91
5934,539
5935,407
5936,905
5937,2086
5938,3713
5939,7037
5940,8326
5941,8069
5942,8795
5943,11308
5944,13126
5945,14410
5946,15289
5947,18110
5948,9076
5949,-2027
5950,-3205
5951,734
5952,-2080
5953,-8098
5954,-11083
5955,-14277
5956,-13462
5957,-11338
5958,-12100
5959,-9554
5960,-3885
5961,-3051
5962,-3868
5963,-93
5964,4880
5965,5959
5966,4832
5967,3685
5968,3325
5969,4899
5970,4387
5971,375
5972,-3690
5973,-4013
5974,-4616
5975,-6726
5976,-8455
5977,-10489
5978,-10849
5979,-8921
5980,-6987
5981,-5764
5982,-3841
5983,104
5984,208
5985,693
5986,1548
5987,3532
5988,5244
5989,4143
5990,1894
5991,1073
5992,935
5993,-274
5994,-1826
5995,-1336
5996,-241
5997,398
5998,933
5999,1568
6000,3181
6001,6357
6002,7059
6003,8266
6004,9979
6005,12297
6006,13399
6007,14244
6008,16331
6009,18822
6010,9455
6011,-1378
6012,-2483
6013,1604
6014,-2677
6015,-9698
6016,-11744
6017,-13865
6018,-13574
6019,-12645
6020,-12897
6021,-10123
6022,-4265
6023,-2818
6024,-3813
6025,-93
6026,5250
6027,6002
6028,4596
6029,3918
6030,4509
6031,5067
6032,2899
6033,-1287
6034,-4814
6035,-4219
6036,-5416
6037,-8556
6038,-9350
6039,-7205
6040,-7558
6041,-8432
6042,-7707
6043,-4477
6044,-1473
6045,1195
6046,906
6047,521
6048,1726
6049,3260
6050,3738
6051,3013
6052,1753
6053,818
6054,-750
6055,-1567
6056,-1235
6057,41
6058,139
6059,-188
6060,348
6061,2315
6062,4717
6063,7294
6064,7624
6065,8038
6066,9717
6067,12256
6068,13929
6069,14513
6070,15902
6071,17924
6072,7641
6073,-2528
6074,-2252
6075,1543
6076,-3153
6077,-9376
6078,-12790
6079,-14405
6080,-13023
6081,-11518
6082,-12229
6083,-9358
6084,-4550
6085,-3368
6086,-3180
6087,709
6088,5410
6089,6047
6090,4103
6091,3514
6092,4428
6093,5249
6094,2510
6095,-1609
6096,-5134
6097,-4787
6098,-6207
6099,-7987
6100,-8707
6101,-7214
6102,-8560
6103,-8635
6104,-6962
6105,-3596
6106,-676
6107,760
6108,662
6109,731
6110,1718
6111,3499
6112,3874
6113,2906
6114,957
6115,387
6116,-772
6117,-1313
6118,-805
6119,-148
6120,-431
6121,-19
6122,1008
6123,2982
6124,4665
6125,7201
6126,7184
6127,8111
6128,9886
6129,12295
6130,14060
6131,14500
6132,15732
6133,16473
6134,6060
6135,-2579
6136,-2258
6137,1472
6138,-4018
6139,-9937
6140,-13092
6141,-13668
6142,-12688
6143,-11614
6144,-12064
6145,-8354
6146,-4328
6147,-3156
6148,-2988
6149,1392
6150,5331
6151,5769
6152,3898
6153,3624
6154,4529
6155,5150
6156,2133
6157,-2112
6158,-5111
6159,-4634
6160,-5591
6161,-8514
6162,-8660
6163,-7147
6164,-8206
6165,-8752
6166,-7025
6167,-2897
6168,-586
6169,262
6170,82
6171,536
6172,2348
6173,3447
6174,3539
6175,2578
6176,1075
6177,431
6178,-988
6179,-1233
6180,-459
6181,-143
6182,-638
6183,-377
6184,1081
6185,3139
6186,4747
6187,7007
6188,7088
6189,8574
6190,10184
6191,12171
6192,13346
6193,14468
6194,16677
6195,17373
6196,5505
6197,-3053
6198,-1909
6199,2255
6200,-3825
6201,-10643
6202,-13426
6203,-13506
6204,-12227
6205,-12149
6206,-12667
6207,-8493
6208,-4026
6209,-3468
6210,-3314
6211,1378
6212,5929
6213,5978
6214,3440
6215,3553
6216,5064
6217,6005
6218,3531
6219,-1121
6220,-3575
6221,-3216
6222,-5121
6223,-6771
6224,-9042
6225,-10654
6226,-11011
6227,-8654
6228,-6568
6229,-5728
6230,-2756
6231,-898
6232,-363
6233,783
6234,2281
6235,4431
6236,4976
6237,3437
6238,1252
6239,1033
6240,981
6241,-373
6242,-1804
6243,-1297
6244,-681
6245,-304
6246,-23
6247,1742
6248,3513
6249,6102
6250,6746
6251,7746
6252,9999
6253,12399
6254,13237
6255,13527
6256,16282
6257,19105
6258,10519
6259,-1431
6260,-2951
6261,1977
6262,-1308
6263,-9163
6264,-12568
6265,-13675
6266,-13326
6267,-12411
6268,-12755
6269,-10298
6270,-5451
6271,-3318
6272,-3987
6273,-640
6274,4687
6275,6246
6276,4197
6277,3687
6278,4778
6279,5826
6280,3866
6281,-668
6282,-4138
6283,-3870
6284,-4271
6285,-7256
6286,-9197
6287,-7455
6288,-7675
6289,-8832
6290,-7372
6291,-5106
6292,-1474
6293,-492
6294,84
6295,-569
6296,1130
6297,3488
6298,3664
6299,2651
6300,1011
6301,583
6302,-310
6303,-1027
6304,-506
6305,-43
6306,-493
6307,-664
6308,50
6309,2172
6310,4288
6311,6040
6312,6798
6313,7845
6314,9492
6315,10929
6316,12614
6317,14047
6318,14593
6319,17158
6320,13157
6321,619
6322,-3070
6323,461
6324,808
6325,-7665
6326,-11413
6327,-12762
6328,-12839
6329,-12524
6330,-11817
6331,-10701
6332,-6639
6333,-4225
6334,-3395
6335,-2208
6336,3479
6337,5956
6338,4080
6339,2803
6340,4387
6341,5360
6342,4108
6343,299
6344,-3697
6345,-4683
6346,-4654
6347,-6360
6348,-8289
6349,-7402
6350,-7295
6351,-8563
6352,-7267
6353,-4316
6354,-1748
6355,-384
6356,-384
6357,207
6358,573
6359,3055
6360,3546
6361,2325
6362,552
6363,-301
6364,-476
6365,-1010
6366,-975
6367,-639
6368,-929
6369,-607
6370,161
6371,2332
6372,4234
6373,5736
6374,7128
6375,8040
6376,9403
6377,10972
6378,12599
6379,13918
6380,14452
6381,16604
6382,13337
6383,398
6384,-3624
6385,82
6386,1441
6387,-7476
6388,-11718
6389,-13000
6390,-12078
6391,-10397
6392,-10458
6393,-10128
6394,-5431
6395,-2394
6396,-2796
6397,-1145
6398,3869
6399,5827
6400,3701
6401,2049
6402,2976
6403,4031
6404,2197
6405,-1980
6406,-5178
6407,-5110
6408,-5244
6409,-7589
6410,-8698
6411,-7052
6412,-6106
6413,-7641
6414,-5782
6415,-3071
6416,-684
6417,621
6418,461
6419,779
6420,1163
6421,2699
6422,2610
6423,1661
6424,203
6425,-1427
6426,-1821
6427,-1812
6428,-1535
6429,-1084
6430,-1692
6431,-1299
6432,-126
6433,2228
6434,4140
6435,5667
6436,7273
6437,8705
6438,9694
6439,10942
6440,12696
6441,14192
6442,14504
6443,16175
6444,16199
6445,2850
6446,-4064
6447,-1155
6448,2114
6449,-5151
6450,-10620
6451,-12854
6452,-13212
6453,-11323
6454,-10005
6455,-9939
6456,-6193
6457,-2975
6458,-2489
6459,-1301
6460,3280
6461,6164
6462,4538
6463,2363
6464,3023
6465,3959
6466,3519
6467,-276
6468,-4837
6469,-6383
6470,-5467
6471,-6597
6472,-8715
6473,-8351
6474,-7306
6475,-8160
6476,-6813
6477,-4398
6478,-1454
6479,798
6480,608
6481,719
6482,801
6483,2930
6484,3456
6485,2706
6486,412
6487,-1388
6488,-1550
6489,-1747
6490,-1902
6491,-1756
6492,-1924
6493,-1943
6494,-1028
6495,1219
6496,3636
6497,5066
6498,6704
6499,7934
6500,9294
6501,10690
6502,12549
6503,13680
6504,14578
6505,15653
6506,17424
6507,6717
6508,-2479
6509,-2135
6510,2624
6511,-2210
6512,-10059
6513,-12539
6514,-12505
6515,-11415
6516,-10522
6517,-10589
6518,-7482
6519,-3507
6520,-2405
6521,-2313
6522,1761
6523,5895
6524,5261
6525,2528
6526,2906
6527,4312
6528,3962
6529,91
6530,-3939
6531,-5653
6532,-4269
6533,-6307
6534,-8567
6535,-8765
6536,-6644
6537,-7394
6538,-7690
6539,-4641
6540,-1781
6541,-336
6542,-230
6543,56
6544,1357
6545,1978
6546,2659
6547,1806
6548,851
6549,-422
6550,-1527
6551,-1941
6552,-1629
6553,-1309
6554,-1390
6555,-2067
6556,-919
6557,820
6558,3162
6559,4210
6560,6359
6561,7802
6562,8791
6563,9475
6564,11740
6565,13438
6566,14328
6567,15215
6568,17898
6569,9267
6570,-2051
6571,-1558
6572,3183
6573,-527
6574,-9015
6575,-11129
6576,-11754
6577,-11410
6578,-10658
6579,-10277
6580,-7890
6581,-3970
6582,-3291
6583,-3042
6584,856
6585,5432
6586,5007
6587,2143
6588,2718
6589,4409
6590,4558
6591,2187
6592,-1229
6593,-4347
6594,-3530
6595,-4373
6596,-7524
6597,-7786
6598,-9682
6599,-9998
6600,-8628
6601,-5328
6602,-3832
6603,-3884
6604,-936
6605,-922
6606,815
6607,2072
6608,2913
6609,3761
6610,1741
6611,-14
6612,-588
6613,-512
6614,-704
6615,-2398
6616,-2655
6617,-2311
6618,-1231
6619,-328
6620,1648
6621,3125
6622,4875
6623,6812
6624,8119
6625,9954
6626,11263
6627,13115
6628,13631
6629,15481
6630,18255
6631,14640
6632,1641
6633,-1653
6634,1650
6635,2986
6636,-6520
6637,-10604
6638,-12431
6639,-11904
6640,-10901
6641,-10545
6642,-9763
6643,-5889
6644,-3519
6645,-3458
6646,-1222
6647,4147
6648,5854
6649,3379
6650,2510
6651,3932
6652,5110
6653,3314
6654,-860
6655,-4326
6656,-4659
6657,-4183
6658,-6511
6659,-8743
6660,-7817
6661,-7506
6662,-8531
6663,-7345
6664,-3937
6665,-1726
6666,-794
6667,-974
6668,108
6669,944
6670,3052
6671,2912
6672,1924
6673,-177
6674,-918
6675,-1113
6676,-1484
6677,-1571
6678,-1836
6679,-2458
6680,-2113
6681,-629
6682,1442
6683,3475
6684,4486
6685,6108
6686,7509
6687,9241
6688,10539
6689,12361
6690,13668
6691,14341
6692,15345
6693,17242
6694,6921
6695,-1548
6696,-411
6697,3670
6698,-2305
6699,-9496
6700,-11135
6701,-11453
6702,-11008
6703,-10033
6704,-10261
6705,-7458
6706,-3875
6707,-3340
6708,-2609
6709,1709
6710,5296
6711,4027
6712,1970
6713,3047
6714,4342
6715,4186
6716,453
6717,-3966
6718,-5354
6719,-3328
6720,-5150
6721,-8657
6722,-8483
6723,-6600
6724,-7651
6725,-7512
6726,-4460
6727,-2309
6728,-1724
6729,-1060
6730,-519
6731,861
6732,2017
6733,2286
6734,1272
6735,332
6736,-491
6737,-1072
6738,-1455
6739,-1413
6740,-1804
6741,-1978
6742,-1838
6743,-511
6744,1030
6745,3032
6746,3693
6747,5509
6748,7618
6749,9013
6750,9593
6751,10918
6752,13262
6753,14589
6754,15114
6755,17395
6756,9824
6757,-1018
6758,-363
6759,3884
6760,426
6761,-8875
6762,-10419
6763,-11490
6764,-10666
6765,-9686
6766,-10119
6767,-8548
6768,-4782
6769,-3613
6770,-3276
6771,715
6772,4855
6773,4095
6774,1577
6775,2478
6776,4494
6777,4748
6778,1595
6779,-2468
6780,-4965
6781,-4607
6782,-4860
6783,-6970
6784,-8071
6785,-7524
6786,-8028
6787,-8060
6788,-4673
6789,-2504
6790,-1857
6791,-2016
6792,-963
6793,1007
6794,1842
6795,2528
6796,1571
6797,619
6798,-892
6799,-872
6800,-793
6801,-1121
6802,-1958
6803,-2249
6804,-2238
6805,-450
6806,906
6807,2294
6808,3262
6809,4888
6810,6791
6811,8377
6812,9887
6813,10856
6814,12358
6815,13543
6816,14485
6817,17315
6818,12777
6819,888
6820,-863
6821,3511
6822,2411
6823,-6890
6824,-10230
6825,-10871
6826,-10008
6827,-9799
6828,-10217
6829,-8993
6830,-5314
6831,-4326
6832,-4150
6833,-435
6834,4010
6835,4443
6836,1906
6837,1473
6838,3852
6839,4802
6840,3054
6841,-1091
6842,-4026
6843,-4051
6844,-4803
6845,-7149
6846,-7411
6847,-6838
6848,-7881
6849,-8828
6850,-6162
6851,-3512
6852,-2652
6853,-1488
6854,-1257
6855,326
6856,1068
6857,2052
6858,2437
6859,1421
6860,-338
6861,-1258
6862,-860
6863,-456
6864,-1601
6865,-2560
6866,-2450
6867,-1207
6868,182
6869,1755
6870,2946
6871,4155
6872,6280
6873,7644
6874,8723
6875,10443
6876,12565
6877,13022
6878,13569
6879,15892
6880,17103
6881,5161
6882,-1745
6883,1097
6884,4815
6885,-2419
6886,-9795
6887,-10861
6888,-10608
6889,-9345
6890,-9703
6891,-10261
6892,-7041
6893,-4396
6894,-3909
6895,-2756
6896,2184
6897,4658
6898,2787
6899,1035
6900,2997
6901,4779
6902,4264
6903,907
6904,-3346
6905,-4413
6906,-3569
6907,-5382
6908,-7771
6909,-7339
6910,-7106
6911,-8728
6912,-7509
6913,-4084
6914,-2732
6915,-2282
6916,-2290
6917,-983
6918,1025
6919,2072
6920,2108
6921,1348
6922,173
6923,-823
6924,-739
6925,-566
6926,-1091
6927,-2188
6928,-2554
6929,-1770
6930,-163
6931,1003
6932,2519
6933,3142
6934,4735
6935,7254
6936,8798
6937,9681
6938,10880
6939,12441
6940,13618
6941,15222
6942,18134
6943,11140
6944,-352
6945,-552
6946,4512
6947,2698
6948,-7572
6949,-10519
6950,-10498
6951,-9606
6952,-10095
6953,-10386
6954,-8698
6955,-5067
6956,-4650
6957,-4652
6958,-587
6959,4514
6960,3977
6961,1045
6962,1792
6963,4718
6964,5188
6965,2990
6966,-1274
6967,-4126
6968,-3525
6969,-4439
6970,-6658
6971,-7338
6972,-6478
6973,-8489
6974,-9244
6975,-5886
6976,-3064
6977,-2762
6978,-2281
6979,-1662
6980,43
6981,1371
6982,2462
6983,2206
6984,1173
6985,-461
6986,-961
6987,-606
6988,-103
6989,-1464
6990,-2742
6991,-2476
6992,-812
6993,529
6994,1923
6995,3076
6996,3966
6997,6343
6998,8189
6999,9330
7000,10398
7001,12431
7002,13465
7003,13793
7004,16800
7005,15190
7006,2960
7007,-819
7008,2708
7009,4637
7010,-4485
7011,-9858
7012,-10670
7013,-9791
7014,-9426
7015,-9992
7016,-9975
7017,-6297
7018,-4536
7019,-4558
7020,-2291
7021,3137
7022,4433
7023,1678
7024,899
7025,3682
7026,5201
7027,3840
7028,-542
7029,-3668
7030,-3856
7031,-3489
7032,-5122
7033,-7270
7034,-7165
7035,-7743
7036,-8454
7037,-6514
7038,-3719
7039,-2995
7040,-2534
7041,-2259
7042,-10
7043,703
7044,1954
7045,1956
7046,1091
7047,-240
7048,-1075
7049,-462
7050,-473
7051,-1381
7052,-2257
7053,-2352
7054,-1177
7055,395
7056,1345
7057,2689
7058,3586
7059,5815
7060,7701
7061,8827
7062,9566
7063,11196
7064,12923
7065,13856
7066,14716
7067,16903
7068,6877
7069,-935
7070,690
7071,5697
7072,-398
7073,-8403
7074,-10203
7075,-10087
7076,-9528
7077,-8978
7078,-9374
7079,-7734
7080,-5351
7081,-4715
7082,-3462
7083,1368
7084,4070
7085,2211
7086,306
7087,2458
7088,4847
7089,4461
7090,1455
7091,-2488
7092,-3790
7093,-3089
7094,-4201
7095,-7031
7096,-7187
7097,-6444
7098,-8546
7099,-8313
7100,-4832
7101,-2368
7102,-3338
7103,-3725
7104,-1497
7105,557
7106,2168
7107,1347
7108,1221
7109,572
7110,-307
7111,-341
7112,-570
7113,-335
7114,-1722
7115,-2404
7116,-1825
7117,120
7118,1279
7119,2192
7120,2564
7121,4613
7122,7020
7123,8622
7124,8978
7125,10018
7126,12582
7127,13476
7128,13980
7129,16786
7130,10319
7131,664
7132,879
7133,4900
7134,1983
7135,-7015
7136,-8878
7137,-9656
7138,-9046
7139,-9074
7140,-9511
7141,-8357
7142,-5636
7143,-4924
7144,-4358
7145,-334
7146,3482
7147,2200
7148,286
7149,1825
7150,4197
7151,4246
7152,1527
7153,-1822
7154,-3594
7155,-3074
7156,-3526
7157,-6051
7158,-6784
7159,-6675
7160,-7739
7161,-7853
7162,-4502
7163,-3425
7164,-3330
7165,-3046
7166,-1360
7167,355
7168,526
7169,1768
7170,949
7171,734
7172,-685
7173,-533
7174,-229
7175,-597
7176,-1707
7177,-2217
7178,-1625
7179,-57
7180,595
7181,1655
7182,2815
7183,4040
7184,6461
7185,8004
7186,8700
7187,9481
7188,11207
7189,13338
7190,13323
7191,15946
7192,14242
7193,2197
7194,-215
7195,3809
7196,5514
7197,-4447
7198,-9199
7199,-9237
7200,-8639
7201,-8816
7202,-8909
7203,-9246
7204,-6312
7205,-5133
7206,-4704
7207,-2133
7208,2814
7209,3020
7210,245
7211,257
7212,3878
7213,5065
7214,2559
7215,-1286
7216,-3594
7217,-3253
7218,-2746
7219,-4742
7220,-6772
7221,-6954
7222,-6962
7223,-8003
7224,-5242
7225,-2868
7226,-3149
7227,-3881
7228,-3325
7229,699
7230,937
7231,1665
7232,172
7233,469
7234,-48
7235,-496
7236,92
7237,-651
7238,-1429
7239,-2351
7240,-1868
7241,-182
7242,973
7243,950
