,M
1303,-167
1304,17
1305,-243
1306,-61
1307,89
1308,-158
1309,-145
1310,-254
1311,-124
1312,162
1313,-38
1314,-236
1315,-58
1316,-13
1317,72
1318,-172
1319,5
1320,-118
1321,-288
1322,-147
1323,-62
1324,-89
1325,-129
1326,-281
1327,-80
1328,19
1329,-130
1330,-183
1331,-198
1332,-90
1333,-23
1334,-142
1335,-151
1336,-8
1337,-80
1338,63
1339,-44
1340,-150
1341,-138
1342,191
1343,-176
1344,123
1345,-146
1346,-185
1347,-90
1348,-56
1349,-66
1350,-113
1351,-90
1352,-76
1353,-83
1354,43
1355,-191
1356,12
1357,-153
1358,-121
1359,148
1360,-95
1361,65
1362,-207
1363,-92
1364,227
1365,-327
1366,-89
1367,75
1368,-249
1369,113
1370,-35
1371,184
1372,-182
1373,-32
1374,-155
1375,-161
1376,7
1377,-144
1378,-248
1379,-43
1380,-377
1381,-333
1382,-10
1383,5
1384,-225
1385,-185
1386,-10
1387,-67
1388,-95
1389,66
1390,-13
1391,-50
1392,122
1393,189
1394,-287
1395,-305
1396,79
1397,-12
1398,-349
1399,-92
1400,-16
1401,-121
1402,-298
1403,-260
1404,-413
1405,143
1406,-41
1407,-38
1408,-93
1409,-250
1410,-262
1411,-125
1412,-242
1413,-67
1414,-44
1415,-47
1416,-35
1417,-144
1418,-298
1419,120
1420,125
1421,93
1422,-29
1423,-74
1424,-130
1425,-83
1426,-176
1427,-211
1428,-117
1429,-160
1430,98
1431,-173
1432,77
1433,-106
1434,79
1435,114
1436,135
1437,-55
1438,-22
1439,-293
1440,-105
1441,-167
1442,176
1443,-574
1444,-350
1445,-300
1446,-194
1447,-106
1448,-122
1449,-307
1450,-228
1451,-123
1452,81
1453,-215
1454,105
1455,-188
1456,-202
1457,-33
1458,-146
1459,212
1460,137
1461,62
1462,-142
1463,-200
1464,36
1465,91
1466,91
1467,-40
1468,-10
1469,-52
1470,-155
1471,-29
1472,-576
1473,-44
1474,13
1475,-4
1476,30
1477,-147
1478,-324
1479,87
1480,-56
1481,-204
1482,-171
1483,146
1484,-250
1485,-362
1486,-19
1487,-188
1488,-72
1489,174
1490,-201
1491,45
1492,144
1493,24
1494,-56
1495,-3
1496,-123
1497,-92
1498,193
1499,-249
1500,-126
1501,-315
1502,-100
1503,-26
1504,-487
1505,-100
1506,138
1507,-212
1508,36
1509,-283
1510,164
1511,161
1512,-50
1513,-487
1514,34
1515,-242
1516,-459
1517,-82
1518,-189
1519,75
1520,47
1521,-74
1522,-27
1523,130
1524,318
1525,-9
1526,-154
1527,-224
